architecture,condition,snr_db,label,class_name,baseline_precision,baseline_recall,baseline_f1,baseline_support,augmented_precision,augmented_recall,augmented_f1,augmented_support,precision_delta,recall_delta,f1_delta
crnn,snr_0db,0.0,5,engine_idling,0.6346153846153846,0.3548387096774194,0.4551724137931034,93,0.7222222222222222,0.5591397849462365,0.6303030303030303,93,0.08760683760683763,0.20430107526881713,0.17513061650992684
crnn,snr_0db,0.0,6,gun_shot,0.7916666666666666,0.59375,0.6785714285714286,32,0.6530612244897959,1.0,0.7901234567901234,32,-0.13860544217687076,0.40625,0.11155202821869481
crnn,snr_0db,0.0,7,jackhammer,0.66,0.6875,0.673469387755102,96,0.8,0.625,0.7017543859649122,96,0.14,-0.0625,0.02828499820981023
crnn,snr_0db,0.0,8,siren,0.6842105263157895,0.1566265060240964,0.2549019607843137,83,0.62,0.3734939759036144,0.4661654135338345,83,-0.0642105263157895,0.216867469879518,0.2112634527495208
crnn,snr_0db,0.0,9,street_music,0.4355828220858895,0.71,0.5399239543726235,100,0.711340206185567,0.69,0.700507614213198,100,0.27575738409967754,-0.020000000000000018,0.16058365984057443
resnet18,clean,,0,air_conditioner,0.75,0.66,0.7021276595744681,100,0.6538461538461539,0.51,0.5730337078651685,100,-0.09615384615384615,-0.15000000000000002,-0.1290939517092996
resnet18,clean,,1,car_horn,0.9375,0.9090909090909092,0.9230769230769232,33,0.9666666666666668,0.8787878787878788,0.9206349206349206,33,0.029166666666666785,-0.030303030303030387,-0.0024420024420026554
resnet18,clean,,2,children_playing,0.5180722891566265,0.86,0.6466165413533834,100,0.7033898305084746,0.83,0.7614678899082569,100,0.18531754135184808,-0.030000000000000027,0.11485134855487344
resnet18,clean,,3,dog_bark,0.8089887640449438,0.72,0.7619047619047619,100,0.7592592592592593,0.82,0.7884615384615384,100,-0.0497295047856845,0.09999999999999998,0.026556776556776573
resnet18,clean,,4,drilling,0.7745098039215687,0.79,0.7821782178217822,100,0.7669902912621359,0.79,0.7783251231527094,100,-0.007519512659432737,0.0,-0.0038530946690727985
resnet18,clean,,5,engine_idling,0.7424242424242424,0.5268817204301075,0.6163522012578616,93,0.6,0.6451612903225806,0.6217616580310881,93,-0.14242424242424245,0.11827956989247312,0.005409456773226462
resnet18,clean,,6,gun_shot,0.967741935483871,0.9375,0.9523809523809524,32,0.96875,0.96875,0.96875,32,0.0010080645161290036,0.03125,0.01636904761904756
resnet18,clean,,7,jackhammer,0.925531914893617,0.90625,0.9157894736842104,96,0.9438202247191012,0.875,0.9081081081081082,96,0.01828830982548424,-0.03125,-0.007681365576102217
resnet18,clean,,8,siren,0.7872340425531915,0.4457831325301205,0.5692307692307692,83,0.6486486486486487,0.5783132530120482,0.6114649681528662,83,-0.13858539390454283,0.1325301204819277,0.04223419892209701
resnet18,clean,,9,street_music,0.680327868852459,0.83,0.7477477477477478,100,0.8285714285714286,0.87,0.848780487804878,100,0.14824355971896963,0.040000000000000036,0.10103274005713025
resnet18,snr_20db,20.0,0,air_conditioner,0.7386363636363636,0.65,0.6914893617021277,100,0.65,0.52,0.5777777777777777,100,-0.08863636363636362,-0.13,-0.11371158392434999
resnet18,snr_20db,20.0,1,car_horn,1.0,0.6363636363636364,0.7777777777777778,33,0.9375,0.9090909090909092,0.9230769230769232,33,-0.0625,0.2727272727272728,0.14529914529914545
resnet18,snr_20db,20.0,2,children_playing,0.4806629834254143,0.87,0.6192170818505338,100,0.6974789915966386,0.83,0.7579908675799086,100,0.21681600817122432,-0.040000000000000036,0.13877378572937482
